country,year,regions,decision_freedom_core,decision_equality_core,decision_control_core,intermediate_freedom_core,intermediate_equality_core,intermediate_control_core,communication_freedom_core,communication_equality_core,communication_control_core,rights_freedom_core,rights_equality_core,rights_control_core,rule_settlement_freedom_core,rule_settlement_equality_core,rule_settlement_control_core,freedom_dim_index_core,equality_dim_index_core,control_dim_index_core,decision_inst_index_core,intermediate_inst_index_core,communication_inst_index_core,rights_inst_index_core,rule_settlement_inst_index_core,total_index_core,classification_core,decision_freedom_context,decision_equality_context,decision_control_context,intermediate_freedom_context,intermediate_equality_context,intermediate_control_context,communication_freedom_context,communication_equality_context,communication_control_context,rights_freedom_context,rights_equality_context,rights_control_context,rule_settlement_freedom_context,rule_settlement_equality_context,rule_settlement_control_context,freedom_dim_index_context,equality_dim_index_context,control_dim_index_context,decision_inst_index_context,intermediate_inst_index_context,communication_inst_index_context,rights_inst_index_context,rule_settlement_inst_index_context,total_index_context,classification_context,decision_freedom_trade_off,decision_equality_trade_off,decision_control_trade_off,intermediate_freedom_trade_off,intermediate_equality_trade_off,intermediate_control_trade_off,communication_freedom_trade_off,communication_equality_trade_off,communication_control_trade_off,rights_freedom_trade_off,rights_equality_trade_off,rights_control_trade_off,rule_settlement_freedom_trade_off,rule_settlement_equality_trade_off,rule_settlement_control_trade_off,freedom_dim_index_trade_off,equality_dim_index_trade_off,control_dim_index_trade_off,decision_inst_index_trade_off,intermediate_inst_index_trade_off,communication_inst_index_trade_off,rights_inst_index_trade_off,rule_settlement_inst_index_trade_off,total_index_trade_off
Afghanistan,2020,South Asia,0.146542257,0.508460412,0.357050853,0.806034064,0.456885372,0.599948951,0.528087554,0.842872138,0.805508218,0.349097451,0.219559628,0.407121111,0.386348017,0.54463036,0.360698285,0.384582496,0.471950104,0.479464448,0.298526827,0.604539918,0.710415675,0.314828661,0.423390917,0.443146513,Moderate Autocracy,0.111758566,0.400102892,0.272300239,0.652590191,0.370430211,0.485737288,0.493440383,0.734144668,0.75265982,0.26785154,0.173293309,0.312371277,0.296655387,0.430025486,0.276960369,0.309927767,0.38175712,0.38639134,0.230055972,0.489684241,0.648442826,0.243846024,0.328136611,0.357567748,Moderate Autocracy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Albania,2020,Europe,0.4839001,0.922374241,0.611576829,0.767704589,0.742817892,0.821862016,0.584528079,0.745911538,0.640481557,0.620715853,0.874250257,0.579977544,0.835791249,0.490544921,0.782115388,0.64617355,0.73817321,0.68059337,0.648691141,0.776768849,0.653631706,0.680215611,0.684461689,0.687276863,Deficient Democracy,0.399207273,0.819254094,0.504537855,0.627949351,0.656958118,0.672247798,0.513309373,0.68354061,0.562445499,0.521378078,0.783530346,0.487159423,0.653656145,0.424223414,0.611677293,0.535058015,0.656862118,0.563559028,0.54849197,0.652124569,0.582203288,0.583839174,0.553548206,0.582914467,Deficient Democracy,0.395185082,0.860882625,0.472516763,0.620467491,0.699577529,0.821862016,0.493612485,0.675450304,0.640481557,0.620715853,0.874250257,0.574748375,0.721356696,0.490544921,0.656976926,0.55819986,0.705240995,0.623089059,0.543734932,0.709225917,0.597716698,0.678165126,0.614883712,0.62597809
Algeria,2020,Middle East and North Africa,0.250663396,0.462340706,0.311621648,0.437200962,0.715342345,0.491076117,0.27093566,0.681568344,0.56136551,0.235897061,0.695374619,0.191123443,0.266772483,0.34646681,0.307890638,0.284642898,0.55843572,0.347333378,0.330542183,0.535526893,0.46975755,0.315320186,0.305304391,0.38077932,Hybrid Regime,0.19712943,0.401940134,0.245068881,0.34771597,0.625395377,0.390564118,0.242742713,0.632438639,0.502951095,0.187719872,0.608109325,0.152090357,0.215753267,0.305449051,0.249007731,0.2321229,0.494368711,0.283246242,0.268782096,0.439565786,0.425823984,0.258939237,0.254118528,0.319137403,Moderate Autocracy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Angola,2020,Sub-Saharan Africa,0.299598617,0.652691879,0.319389553,0.592929151,0.631508957,0.228216246,0.54982542,0.700958207,0.732109285,0.525637599,0.364609193,0.6116965,0.273934197,0.470924459,0.409476713,0.426206452,0.548418052,0.421892375,0.396755455,0.440463195,0.655889912,0.489421839,0.375211006,0.462002664,Hybrid Regime,0.263988903,0.549583499,0.281427526,0.506113147,0.523364747,0.194801086,0.467743709,0.579944238,0.622814987,0.427921589,0.295099888,0.497982144,0.227176481,0.384691285,0.3395833,0.360341068,0.452336003,0.356693684,0.344346212,0.372289813,0.552820852,0.397663446,0.309604558,0.387397469,Moderate Autocracy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Argentina,2020,Latin America,0.908841565,0.935626233,0.85250535,0.903716555,0.903110232,0.772967782,0.935082702,0.952823268,0.898323347,0.62608272,0.766227643,0.773076674,0.869231001,0.762131828,0.74795861,0.839899791,0.859901456,0.807008791,0.898316192,0.85765271,0.928463898,0.718462383,0.791311767,0.835317297,Deficient Democracy,0.891518253,0.893725324,0.836255855,0.834899293,0.837186729,0.71410693,0.882003827,0.89248972,0.847331074,0.515454861,0.670529551,0.636475209,0.772406216,0.692892756,0.664642517,0.764635118,0.791302819,0.73469153,0.873422734,0.793243567,0.873726702,0.603665957,0.708543688,0.763192327,Deficient Democracy,NA,NA,0.639379013,0.702766733,0.878147674,0.772967782,0.764306793,0.888633353,0.898323347,0.62608272,0.766227643,0.763417137,NA,0.762131828,NA,NA,NA,NA,NA,0.781351975,0.848153266,0.715457454,NA,NA
Armenia,2020,Post-Soviet States (without EU-members),0.317382094,0.689464536,0.838302279,0.846631035,0.829431806,0.816189053,0.805082018,0.880116926,0.848562476,0.660426566,0.833012934,0.477349772,0.682342965,0.688852566,0.707813289,0.627753,0.780049572,0.721981606,0.568196211,0.830657285,0.844023958,0.640379862,0.69291916,0.707097081,Deficient Democracy,0.281056372,0.626946184,0.742355041,0.777372346,0.76799954,0.749420672,0.714920675,0.80142348,0.753531745,0.593345633,0.762967741,0.428864339,0.615061068,0.631970584,0.63801991,0.563872966,0.714383253,0.648512886,0.507627476,0.764842311,0.755800469,0.579043629,0.628274998,0.639259292,Deficient Democracy,0.301512989,0.551571628,0.628726709,0.729523893,0.736801976,0.816189053,0.658934405,0.819856495,0.848562476,0.660426566,0.833012934,0.466936194,NA,0.688852566,NA,NA,0.7182799,NA,0.471111044,0.759848521,0.771059601,0.635688868,NA,NA
Australia,2020,North America incl. AUS+NZ,0.845534619,0.973058246,0.978216512,0.913915195,0.887789867,0.952084264,0.908487882,0.881764726,0.879896652,0.950441456,0.912552963,0.96945782,0.913547513,0.944559634,0.920882257,0.905737999,0.919301229,0.939409641,0.930183019,0.917551585,0.889954579,0.943852483,0.926235756,0.921379363,Working Democracy,0.830453214,0.949252357,0.960768523,0.894727412,0.864676318,0.932095116,0.906457456,0.866997456,0.877930127,0.932861003,0.889927898,0.951525618,0.891013798,0.918241645,0.898167622,0.890452877,0.897248985,0.923556281,0.911531903,0.896743382,0.88363939,0.924408823,0.902401073,0.903640654,Working Democracy,0.803257888,0.778446597,0.733662384,0.71926734,0.85492602,0.952084264,0.765317766,0.800282313,0.879896652,0.950441456,0.912552963,0.955594621,NA,0.944559634,NA,NA,0.855810495,NA,0.771246771,0.836561912,0.813777279,0.939331852,NA,NA
Austria,2020,Europe,0.92047051,0.941825268,0.914439315,0.924896118,0.903802616,0.883713145,0.911624253,0.888875095,0.909581661,0.930173938,0.950375538,0.842841103,0.941537624,0.897536659,0.90232145,0.925686884,0.916149656,0.890190546,0.925504147,0.903980971,0.903301576,0.90657076,0.913587998,0.910551478,Working Democracy,0.898492133,0.923968906,0.892604947,0.906487513,0.888470162,0.866124222,0.900976685,0.877454079,0.89895795,0.905044378,0.930856899,0.820070925,0.902895222,0.872743961,0.865288551,0.902774696,0.898377518,0.868156947,0.904920253,0.886873379,0.89239907,0.884032173,0.880160191,0.889635625,Working Democracy,0.690352882,0.941825268,0.685829486,0.704022463,0.893688295,0.883713145,0.734441386,0.839417672,0.909581661,0.930173938,0.950375538,0.82691097,NA,0.897536659,NA,NA,0.903683582,NA,0.76398684,0.822295601,0.824629718,0.900822842,NA,NA
Azerbaijan,2020,Post-Soviet States (without EU-members),0.031249303,0.463329741,0.181480147,0.436705469,0.304209254,0.082844453,0.263594529,0.170095821,0.269243032,0.041572498,0.426005324,0.040431412,0.390724591,0.17973783,0.123563487,0.142340487,0.283636523,0.115124888,0.137991779,0.22243758,0.229398991,0.089463665,0.205494466,0.166886013,Hard Autocracy,0.029030489,0.40967295,0.168594397,0.354755877,0.251526072,0.067298348,0.212501367,0.140102671,0.217055008,0.031211703,0.338618593,0.030355001,0.300850228,0.14468363,0.095141448,0.115494871,0.23437937,0.093412172,0.126098985,0.181763079,0.186262739,0.068457259,0.160588028,0.136237035,Hard Autocracy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bahrain,2020,Middle East and North Africa,0.093934664,0.330461515,NA,0.223072297,0.125794043,0.091876083,0.149317772,0.157782468,0.109075917,0.042545863,0.266124259,0.15230065,0.144019723,0.22387516,0.116431019,0.113902293,0.208154602,NA,NA,0.137120607,0.136972392,0.119917119,0.155417121,NA,NA,0.083437526,0.301232404,NA,0.209824765,0.11799909,0.086419863,0.117170875,0.135184177,0.085592763,0.033274736,0.227628237,0.119112965,0.118342409,0.196280953,0.095672502,0.095820531,0.184655437,NA,NA,0.128859466,0.110677887,0.096627319,0.130497412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
