"","Country","Region","EconLvl","DemClass","Pop","ExpectedLEB","NeoMort","CPIscore","LitRate","MedIncome","Gini"
"1","Albania","Europe&CentralAsia","Uppermiddleincome","DeficientDemocracy",2855,78,7,37,98.5,21395,29.4
"2","Angola","Sub-SaharanAfrica","Lowermiddleincome","HybridRegime",34504,63.1,27,33,72.4,8041,51.3
"3","Argentina","LatinAmerica&Caribbean","Uppermiddleincome","DeficientDemocracy",45277,76.6,5,37,98.08997,29363,40.7
"4","Armenia","Europe&CentralAsia","Uppermiddleincome","DeficientDemocracy",2791,76,6,47,99.78861,23055,27.9
"5","Australia","EastAsia&Pacific","Highincome","WorkingDemocracy",25921,83,2,75,99,69115,34.3
"6","Austria","Europe&CentralAsia","Highincome","WorkingDemocracy",8922,81.6,2,71,98,73751,30.7
"7","Bangladesh","SouthAsia","Lowermiddleincome","ModerateAutocracy",169356,74.3,16,24,74.9089,9066,33.4
"8","Belarus","Europe&CentralAsia","Uppermiddleincome","ModerateAutocracy",9578,74.8,1,37,99.874,30752,24.4
"9","Belgium","Europe&CentralAsia","Highincome","WorkingDemocracy",11611,81.4,2,73,99,70456,26.6
"10","Benin","Sub-SaharanAfrica","Lowermiddleincome","HybridRegime",12997,63.4,29,43,47.1,4248,34.4
"11","Bhutan","SouthAsia","Lowermiddleincome","DeficientDemocracy",777,73.1,15,68,72.1,15022,28.5
"12","Bolivia","LatinAmerica&Caribbean","Lowermiddleincome","DeficientDemocracy",12079,72.1,13,29,93.85256,10727,40.9
"13","Botswana","Sub-SaharanAfrica","Uppermiddleincome","DeficientDemocracy",2588,62.2,18,59,88.22441,19383,53.3
"14","Brazil","LatinAmerica&Caribbean","Uppermiddleincome","DeficientDemocracy",214326,75.9,8,36,94.69,20584,52
"15","Bulgaria","Europe&CentralAsia","Highincome","DeficientDemocracy",6886,75.1,3,45,98.42,38690,39
"16","BurkinaFaso","Sub-SaharanAfrica","Lowincome","DeficientDemocracy",22101,62.7,25,41,34.49,2727,37.4
"17","Burundi","Sub-SaharanAfrica","Lowincome","ModerateAutocracy",12551,63.8,20,20,75.54,951,37.5
"18","Cameroon","Sub-SaharanAfrica","Lowermiddleincome","HybridRegime",27199,62.4,26,27,78.23,5380,42.2
"19","Canada","NorthAmerica","Highincome","WorkingDemocracy",38155,82.2,3,76,99,61582,31.7
"20","CentralAfricanRepublic","Sub-SaharanAfrica","Lowincome","HybridRegime",5457,53.1,32,24,37.49,1130,43
"21","Chad","Sub-SaharanAfrica","Lowincome","ModerateAutocracy",17180,59.6,32,20,27.28,1969,37.4
"22","Chile","LatinAmerica&Caribbean","Highincome","WorkingDemocracy",19493,80.7,4,66,97.16,33285,43
"23","China","EastAsia&Pacific","Uppermiddleincome","HardAutocracy",1425894,77.4,3,42,97.15,24558,37.1
"24","Colombia","LatinAmerica&Caribbean","Uppermiddleincome","DeficientDemocracy",51517,79.3,7,40,95.63633,21548,54.8
"25","Comoros","Sub-SaharanAfrica","Lowermiddleincome","HybridRegime",822,67.4,26,20,61.71,3855,45.3
"26","CostaRica","LatinAmerica&Caribbean","Uppermiddleincome","WorkingDemocracy",5154,80.8,5,55,98.04,27953,47.2
"27","Croatia","Europe&CentralAsia","Highincome","WorkingDemocracy",4060,78.6,3,50,99.45,45910,28.9
"28","Cyprus","Europe&CentralAsia","Highincome","WorkingDemocracy",1244,83.1,2,53,99.36,57101,31.3
"29","Czechia","Europe&CentralAsia","Highincome","WorkingDemocracy",10511,79.1,1,57,99,53817,26.2
"30","DemocraticRepublicoftheCongo","Sub-SaharanAfrica","Lowincome","HybridRegime",95894,62.4,26,20,80.54,1671,44.7
"31","Denmark","Europe&CentralAsia","Highincome","WorkingDemocracy",5854,81.3,2,90,99,76688,28.3
"32","Djibouti","MiddleEast&NorthAfrica","Lowermiddleincome","ModerateAutocracy",1106,65.8,30,30,67.9,7204,41.6
"33","DominicanRepublic","LatinAmerica&Caribbean","Uppermiddleincome","DeficientDemocracy",11118,72.8,23,35,95.5,25611,37
